index,zipCode,PovertyEst,avgAnnCount,avgDeathsPerYear,deathRate,incidenceRate,medIncome,popEst2015,povertyPercent,studyCount,studyPerCap,binnedInc
127,1366,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(40362.7, 42724.4]"
128,1367,8397,387.0,149,153.9,413.9,53953,70601,12.0,0,0.0,"[22640, 34218.1]"
129,1368,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(37413.8, 40362.7]"
130,1370,8397,387.0,149,153.9,413.9,53953,70601,12.0,0,0.0,"(34218.1, 37413.8]"
131,1373,8397,387.0,149,153.9,413.9,53953,70601,12.0,0,0.0,"(40362.7, 42724.4]"
132,1375,8397,387.0,149,153.9,413.9,53953,70601,12.0,0,0.0,"[22640, 34218.1]"
133,1376,8397,387.0,149,153.9,413.9,53953,70601,12.0,0,0.0,"[22640, 34218.1]"
134,1378,8397,387.0,149,153.9,413.9,53953,70601,12.0,0,0.0,"(34218.1, 37413.8]"
135,1379,8397,387.0,149,153.9,413.9,53953,70601,12.0,0,0.0,"(34218.1, 37413.8]"
136,1420,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,8,9.768451078,"[22640, 34218.1]"
137,1430,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(34218.1, 37413.8]"
138,1431,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,0,0.0,"[22640, 34218.1]"
139,1432,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,0,0.0,"(37413.8, 40362.7]"
140,1434,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(37413.8, 40362.7]"
141,1436,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(34218.1, 37413.8]"
142,1438,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(51046.4, 54545.6]"
143,1440,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(37413.8, 40362.7]"
144,1450,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,0,0.0,"[22640, 34218.1]"
145,1451,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(40362.7, 42724.4]"
146,1452,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"[22640, 34218.1]"
147,1453,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"[22640, 34218.1]"
148,1460,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,0,0.0,"(34218.1, 37413.8]"
149,1462,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"[22640, 34218.1]"
150,1463,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,0,0.0,"(34218.1, 37413.8]"
151,1464,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,0,0.0,"(34218.1, 37413.8]"
